celebrity,category,signal_score,x_engagement_rate,youtube_views,chart_position,product_mentions,x_component,yt_component,chart_component,date
NMIXX,K-pop,66.4,0,9185334,5.0,0,0,91.9,96.0,2026-01-30
Taylor Swift,Western,54.3,0,2888588,4.0,0,0,28.9,97.0,2026-01-30
BLACKPINK,K-pop,54.0,0,4725007,12.0,0,0,47.3,89.0,2026-01-30
aespa,K-pop,53.5,0,17447554,34.0,0,0,100.0,67.0,2026-01-30
LE SSERAFIM,K-pop,48.5,0,485142,6.0,0,0,4.9,95.0,2026-01-30
BOYNEXTDOOR,K-pop,48.4,0,7220366,33.0,0,0,72.2,68.0,2026-01-30
ILLIT,K-pop,43.3,0,417387,16.0,0,0,4.2,85.0,2026-01-30
IVE,K-pop,32.7,0,362751,37.0,0,0,3.6,64.0,2026-01-30
Hearts2Hearts,K-pop,22.0,0,0,57.0,0,0,0.0,44.0,2026-01-30
Sabrina Carpenter,Western,20.5,0,0,60.0,0,0,0.0,41.0,2026-01-30
Bruno Mars,Western,20.0,0,68587890,1614.0,0,0,100.0,0.0,2026-01-30
ENHYPEN,K-pop,20.0,0,14742538,,0,0,100.0,0.0,2026-01-30
KATSEYE,K-pop,13.4,0,6717407,284.0,0,0,67.2,0.0,2026-01-30
Cardi B,Western,9.9,0,4930765,284.0,0,0,49.3,0.0,2026-01-30
Billie Eilish,Western,9.7,0,4826646,214.0,0,0,48.3,0.0,2026-01-30
TWICE,K-pop,5.8,0,2883583,,0,0,28.8,0.0,2026-01-30
NewJeans,K-pop,5.5,0,0,90.0,0,0,0.0,11.0,2026-01-30
Stray Kids,K-pop,2.0,0,1009905,2160.0,0,0,10.1,0.0,2026-01-30
BTS,K-pop,1.8,0,921582,,0,0,9.2,0.0,2026-01-30
Lady Gaga,Western,1.1,0,540622,1138.0,0,0,5.4,0.0,2026-01-30
ITZY,K-pop,1.0,0,481761,,0,0,4.8,0.0,2026-01-30
TXT,K-pop,0.6,0,282348,,0,0,2.8,0.0,2026-01-30
Dua Lipa,Western,0.0,0,0,,0,0,0.0,0.0,2026-01-30
CORTIS,K-pop,0.0,0,0,,0,0,0.0,0.0,2026-01-30
Olivia Rodrigo,Western,0.0,0,0,494.0,0,0,0.0,0.0,2026-01-30
(G)I-DLE,K-pop,0.0,0,0,,0,0,0.0,0.0,2026-01-30
All Day Project,K-pop,0.0,0,0,,0,0,0.0,0.0,2026-01-30
Nicki Minaj,Western,0.0,0,0,,0,0,0.0,0.0,2026-01-30
SEVENTEEN,K-pop,0.0,0,0,,0,0,0.0,0.0,2026-01-30
KiiiKiii,K-pop,0.0,0,0,,0,0,0.0,0.0,2026-01-30
