celebrity,category,platform,date,engagement,likes,retweets,replies,has_product_mention,follower_count,text_preview
NewJeans,K-pop,X,2026-01-12,36226,31093,5133,384,False,1377649,"#뉴진스 #NewJeans #민지 #MINJI

버니즈 이데일리 무대도 너무 즐거웠어요✨ 
(◍´◡`◍) 오늘도 고생 많았고 내일도 좋은 하루 보내요💗🐰 https://t.co/0"
NewJeans,K-pop,X,2026-01-12,37682,32355,5327,1266,False,1377649,"푸른 가을 하늘과 작은 들꽃들을 보며 마음이 편해져요~ (⸝⸝ᵕᴗᵕ⸝⸝)ෆ˙ᵕ˙ෆ♡ 그리고 날씨가 쌀쌀해 졌지만 버니즈의 사랑으로 우리 뉴진스의 마음은 따뜻해요~ ♡🍁

#NewJ"
NewJeans,K-pop,X,2026-01-12,28520,23971,4549,524,False,1377649,"last one!!! 😝😚✨ 

#하니 #Hanni https://t.co/bmP0I6kJEh"
NewJeans,K-pop,X,2026-01-12,55153,45300,9853,501,False,1377649,"#뉴진스 #NewJeans #민지 #MINJI

첫 시구 너무너무 재미있었어요!! 
결과는 조금 아쉬웠지만😭너무 즐거웠어요🤭✨
다음에 또 불러주실거죠…?!՞•ᴥ•՞💗
두산 베어스분"
NewJeans,K-pop,X,2026-01-12,789,0,789,0,False,1377649,"RT @brandy_senki: Thank you ミンジ 민지( @NewJeans_ADOR @NewJeans_twt )
for recommending us💙

Musica
http"
BTS,K-pop,X,2026-01-12,1353555,975757,377798,31982,False,46943370,잡으러 왔습니다💜 https://t.co/Gnn7n6kWhR
BTS,K-pop,X,2026-01-12,1512151,1107542,404609,35669,False,46943370,정말 보고싶었어요 💜 https://t.co/UnIcqeoVGR
BTS,K-pop,X,2026-01-12,1243941,919178,324763,30501,False,46943370,Back to the street😎 https://t.co/q3LSBR1wzU
BTS,K-pop,X,2026-01-12,2384354,1674274,710080,112195,False,46943370,다녀왔습니다! https://t.co/MpNo4Miio1
BTS,K-pop,X,2026-01-12,1750954,1289375,461579,55744,False,46943370,💜 https://t.co/nZEQExCESb
BLACKPINK,K-pop,X,2026-01-12,200,0,200,0,True,10882210,RT @MerchTraffic: BLACKPINK WORLD TOUR POP UP STORE. HONG KONG. The World Tour lands in Hong Kong. E
BLACKPINK,K-pop,X,2026-01-12,1524,0,1524,0,False,10882210,"RT @ygselect: TURN ON YOUR SHINE! 💖🖤
BLACKPINK OFFICIAL LIGHT STICK SPECIAL HANDLE COVER

A special "
BLACKPINK,K-pop,X,2026-01-12,284,0,284,0,True,10882210,"RT @ygselect: BPCOLLECTION  POP-UP 港澳限定產品公開 💗

BPCOLLECTION POP-UP
港澳快閃獨家限定產品公開！

🎁 Special Gift：
購買"
BLACKPINK,K-pop,X,2026-01-12,372,0,372,0,True,10882210,"RT @ygselect: [🛍Product List]BPCOLLECTION POP-UP🖤💖

✨ Special Items
· China-exclusive Pin
(*Availabl"
BLACKPINK,K-pop,X,2026-01-12,132771,98594,34177,1987,False,10882210,"HAPPY BIRTHDAY JISOO🎉
✅2026.01.03

#BLACKPINK #블랙핑크 #JISOO #지수 #HAPPYBIRTHDAY #20260103 #YG https://"
Stray Kids,K-pop,X,2026-01-12,357,0,357,0,True,11292426,"RT @the_FANSSHOP: A BATHING APE® x Stray Kids
SNS REVIEW EVENT📸

콜라보 상품 구매 인증 시,
총 20명에게 스페셜 기프트 증정 "
Stray Kids,K-pop,X,2026-01-12,6524,0,6524,0,True,11292426,"RT @_GoldenDisc: The 40th Golden Disc Awards with upbit✨ BACKSTAGE

#StrayKids @Stray_Kids 

🏆ALBUM "
Stray Kids,K-pop,X,2026-01-12,4394,0,4394,0,True,11292426,"RT @_GoldenDisc: The 40th Golden Disc Awards with upbit✨ TROPHY CEREMONY

#StrayKids @Stray_Kids 

🏆"
Stray Kids,K-pop,X,2026-01-12,780,0,780,0,True,11292426,"RT @the_FANSSHOP: Stray Kids(스트레이 키즈) ""DO IT""
ONLINE LUCKY DRAW EVENT☁️

📅이벤트 기간
26.1.12 MON 14:00 ~"
Stray Kids,K-pop,X,2026-01-12,567,0,567,0,True,11292426,"RT @the_FANSSHOP: A BATHING APE® x Stray Kids
48-Hour TIME ATTACK EVENT💥

딱 48시간 동안만!

A BATHING APE"
Taylor Swift,Western,X,2026-01-12,144305,123384,20921,3427,True,78834587,There truly was magic in the *eras*✨ I can’t wait for you guys to see the first two episodes of The 
Taylor Swift,Western,X,2026-01-12,134263,113862,20401,2935,True,78834587,Just 11 days until the final show of The Eras Tour is all yours. The Final Show now featuring THE TO
Taylor Swift,Western,X,2026-01-12,265232,221037,44195,4985,True,78834587,Honestly can’t think of a better way to celebrate my (almost) birthday than to relive the Eras Tour 
Taylor Swift,Western,X,2026-01-12,445722,363750,81972,43996,True,78834587,It was the End of an Era and we knew it. We wanted to remember every moment leading up to the culmin
Taylor Swift,Western,X,2026-01-12,300282,265478,34804,4679,False,78834587,"Being in the studio and creating these songs was an unforgettable experience, but luckily I don’t ev"
Sabrina Carpenter,Western,X,2026-01-12,71571,61881,9690,1730,False,2748125,to thank you for such a beautiful year …and to supply whoever needs a cathartic christmas crashout s
Sabrina Carpenter,Western,X,2026-01-12,410,0,410,0,False,2748125,RT @TeamSabrina: watch @SabrinaAnnLynn's vevo footnotes now to hear more about the making of Manchil
