celebrity,category,platform,date,video_id,title,views,likes,comments,published
Taylor Swift,Western,YouTube,2026-03-03,K3jkKvnemws,Taylor Swift - Opalite (Skream Remix) (Visualizer),90162,7000,587,2026-02-23
Taylor Swift,Western,YouTube,2026-03-03,ZeiAo9SeDE8,Taylor Swift - Opalite (Chris Lake Remix) (Visualizer),271772,10478,786,2026-02-23
Taylor Swift,Western,YouTube,2026-03-03,vZJXqv48lIc,Taylor Swift - Opalite (BUNT. Remix) (Visualizer),520227,28294,1769,2026-02-23
Billie Eilish,Western,YouTube,2026-03-03,0UIqFcwIyDM,Billie for YOUR TURN II,601645,50716,2472,2026-01-21
Billie Eilish,Western,YouTube,2026-03-03,AVJKFjAfkJU,The trailer for BILLIE EILISH - HIT ME HARD AND SOFT: THE TOUR (LIVE IN 3D) is out now.,1337078,106447,2312,2025-12-10
Billie Eilish,Western,YouTube,2026-03-03,Rpvta5j-yF8,HIT ME HARD AND SOFT: THE TOUR (LIVE IN 3D) opens in theatres March 20.,439997,31198,747,2025-12-10
Cardi B,Western,YouTube,2026-03-03,_OvLGqSqSZ8,Oh so y’all was going through some shhhh huh?? 😭,8492,851,42,2026-03-02
Cardi B,Western,YouTube,2026-03-03,9J2RHSsN4vE,See that sweat on the side of my pants? …. Baby it’s PRIMETIME !!!!,258704,6680,163,2026-01-26
Cardi B,Western,YouTube,2026-03-03,9QFy9oipkkY,EL DOLORRRRRRRRR,140008,6345,288,2026-01-22
Bruno Mars,Western,YouTube,2026-03-03,GkwAxk-0Q3I,New Video. New Album. New Chapter. #TheRomantic 🌹,260688,11212,374,2026-02-27
Bruno Mars,Western,YouTube,2026-03-03,Bsc_qpFplJM,Bruno Mars - Something Serious [Official Audio],508140,23490,1390,2026-02-27
Bruno Mars,Western,YouTube,2026-03-03,l38Aru5jICw,Bruno Mars - Cha Cha Cha [Official Audio],1025872,48921,2567,2026-02-27
Lady Gaga,Western,YouTube,2026-03-03,jc2cYnww_bI,BUNNY BOWL 🐰🏈❤️💃,375076,20089,690,2026-02-17
Lady Gaga,Western,YouTube,2026-03-03,Rn89mUndYbo,LADY GAGA - ABRACADABRA (LIVE AT THE 2026 GRAMMYS),3686693,132759,7144,2026-02-05
Lady Gaga,Western,YouTube,2026-03-03,gMFQmOBO6D4,Won’t You Be My Neighbor? | Lady Gaga,6319143,53027,3107,2026-01-29
